City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
487,privas,44.5833,4.5,11.4,84,100,2.12,FR,1679859429
488,batouri,4.4333,14.3667,23.83,69,67,0.66,CM,1679859430
489,gohad,26.4261,78.4447,23.54,35,20,3.28,IN,1679859430
490,nevsehir,38.9167,34.6667,10.56,54,75,1.03,TR,1679859431
491,puerto madryn,-42.7692,-65.0385,23.36,30,5,4.42,AR,1679859432
492,gold coast,-28.0,153.4333,21.67,95,75,0.0,AU,1679859432
493,glens falls,43.3095,-73.644,11.21,49,75,3.6,US,1679859433
494,conway,35.0887,-92.4421,25.85,41,45,1.39,US,1679859357
495,robertsport,6.7533,-11.3686,26.63,81,100,4.38,LR,1679859434
496,hirara,24.8,125.2833,19.92,94,75,7.72,JP,1679859434
497,zhanaozen,43.3,52.8,16.1,20,10,6.78,KZ,1679859435
498,sawtell,-30.3833,153.1,18.44,94,39,2.57,AU,1679859435
499,azangaro,-14.9167,-70.2167,13.42,52,100,2.24,PE,1679859436
500,ngorongoro,-3.2397,35.4875,12.43,95,100,1.61,TZ,1679859436
501,kalmunai,7.4167,81.8167,24.82,84,6,1.86,LK,1679859436
502,turukhansk,65.8167,87.9833,-11.6,95,100,1.91,RU,1679859437
503,dakar,14.6937,-17.4441,26.49,83,0,8.23,SN,1679858795
504,bolgatanga,10.7856,-0.8514,35.44,20,100,1.87,GH,1679859437
505,uromi,6.7,6.3333,25.44,74,97,1.83,NG,1679859438
506,la orilla,17.9833,-102.2333,28.07,51,36,5.08,MX,1679859438
507,alamogordo,32.8995,-105.9603,16.89,22,0,4.63,US,1679859438
508,kirgiz-miyaki,53.6324,54.7979,2.91,99,94,2.96,RU,1679859439
509,wenling,28.3669,121.36,9.3,70,78,3.62,CN,1679859439
510,fremont,37.5483,-121.9886,14.15,45,0,3.6,US,1679858842
511,khuzhir,53.1939,107.3397,-3.75,87,100,2.09,RU,1679859440
512,moose factory,51.2585,-80.6094,-2.0,74,100,7.72,CA,1679859440
513,coripata,-16.3,-67.6,19.32,88,100,1.4,BO,1679859440
514,santa fe,-31.6333,-60.7,27.23,51,0,2.68,AR,1679859441
515,ilhabela,-23.7781,-45.3581,26.71,79,86,1.81,BR,1679859441
516,lieksa,63.3167,30.0167,-8.5,86,88,4.55,FI,1679859442
517,port-gentil,-0.7193,8.7815,25.98,94,75,1.54,GA,1679859442
518,beeville,28.4008,-97.7483,31.46,65,100,0.0,US,1679859200
519,yarim,14.298,44.3779,14.75,72,33,1.78,YE,1679859442
520,lakes entrance,-37.8811,147.981,15.86,94,100,1.84,AU,1679859443
521,laela,-8.5667,32.05,15.77,96,56,1.14,TZ,1679859443
522,xuddur,4.1213,43.8894,27.45,62,68,4.67,SO,1679859443
523,dubai,25.2582,55.3047,26.96,50,0,3.6,AE,1679859072
524,venezuela,8.0,-66.0,36.94,24,89,5.72,VE,1679859444
525,livani,56.3543,26.1758,5.8,92,98,2.62,LV,1679859444
526,tortoli,39.9256,9.6572,18.9,59,20,10.29,IT,1679859445
527,kismayo,-0.3582,42.5454,27.74,79,13,3.59,SO,1679859445
528,awbari,26.5921,12.7805,20.26,16,0,1.85,LY,1679859445
529,paramirim,-13.4425,-42.2389,28.1,52,90,2.51,BR,1679859446
530,tahta,26.7693,31.5021,19.34,24,0,3.38,EG,1679859446
531,victoria,22.2855,114.1577,19.62,94,100,0.89,HK,1679859246
532,de-kastri,51.4667,140.7833,-9.66,95,40,0.58,RU,1679859447
533,dudinka,69.4058,86.1778,-23.34,100,100,1.04,RU,1679859447
534,asfi,32.2994,-9.2372,17.64,74,98,8.82,MA,1679859448
535,revuca,48.6835,20.1173,7.48,77,100,0.48,SK,1679859448
536,surovikino,48.6078,42.8486,10.93,86,100,2.43,RU,1679859448
537,gasa,31.5,34.4667,13.82,81,0,1.51,PS,1679859449
538,mbanza-ngungu,-5.25,14.8667,20.18,95,100,1.12,CD,1679859449
539,derzhavinsk,51.1,66.3167,0.59,97,100,3.44,KZ,1679859449
540,balikpapan,-1.2675,116.8289,25.55,94,20,2.06,ID,1679859450
541,champerico,14.3,-91.9167,34.3,56,3,4.01,GT,1679859450
542,portland,45.5234,-122.6762,9.89,69,100,5.66,US,1679859156
543,luderitz,-26.6481,15.1594,18.7,71,0,6.63,NA,1679859451
544,kuryk,43.2,51.65,14.04,41,5,4.04,KZ,1679859451
545,auch,43.65,0.5833,11.81,81,100,4.92,FR,1679859451
546,monte alegre,-2.0078,-54.0692,26.9,86,43,0.76,BR,1679859368
547,hualmay,-11.0964,-77.6139,26.24,70,11,5.4,PE,1679859452
548,san carlos de bariloche,-41.1456,-71.3082,26.91,16,0,3.09,AR,1679859452
549,skegness,53.1436,0.3363,6.7,72,26,7.97,GB,1679859453
550,teruel,40.6667,-0.6667,5.72,50,0,7.77,ES,1679859453
551,vikhorevka,56.1201,101.1636,4.77,82,100,4.91,RU,1679859454
552,simpang,-1.2667,104.0833,23.64,96,97,0.25,ID,1679859454
553,berlevag,70.8578,29.0864,-2.03,50,75,5.66,NO,1679859455
554,avera,33.194,-82.5271,21.73,77,100,5.89,US,1679859455
555,tuatapere,-46.1333,167.6833,13.16,84,100,2.19,NZ,1679859455
556,lagos,6.5833,3.75,29.18,76,100,2.9,NG,1679859223
557,tautira,-17.7333,-149.15,27.18,73,49,3.06,PF,1679859456
558,zhuhai,22.2769,113.5678,18.88,94,40,4.12,CN,1679859456
559,lisakovsk,52.5369,62.4936,2.21,100,100,3.48,KZ,1679859456
560,surt,31.2089,16.5887,17.7,62,0,2.11,LY,1679859457
561,pringsewu,-5.3582,104.9744,23.12,96,98,0.3,ID,1679859457
562,niquelandia,-14.4739,-48.4597,29.75,60,4,1.29,BR,1679859457
563,kamaishi,39.2667,141.8833,6.12,81,74,4.23,JP,1679859458
564,plettenberg bay,-34.0527,23.3716,15.76,68,97,1.61,ZA,1679859458
565,yarmouth,41.7057,-70.2286,15.08,60,0,7.72,US,1679859415
566,natal,-5.795,-35.2094,28.12,74,75,7.72,BR,1679859250
567,bantry,51.6833,-9.45,9.88,85,7,1.79,IE,1679859459
568,clemmons,36.0215,-80.382,20.38,55,100,3.6,US,1679859459
569,olinda,-8.0089,-34.8553,28.85,65,40,4.63,BR,1679859169
570,abu samrah,35.3029,37.1841,11.65,86,18,3.81,SY,1679859460
571,akonolinga,3.7667,12.25,20.27,96,57,0.5,CM,1679859460
